"","Name","Sex","Occurrence","Year","Prop"
"1","Mary","Female",7065,1880,0.077642481921885
"2","Rita","Female",19,1880,0.000208804976152274
"3","Tina","Female",17,1880,0.00018682550497835
"4","Angela","Female",7,1880,7.69281491087324e-05
"5","Jessica","Female",7,1880,7.69281491087324e-05
"6","Monica","Female",6,1880,6.59384135217707e-05
"7","Mary","Female",6919,1881,0.0752449621002034
"8","Rita","Female",20,1881,0.000217502419714419
"9","Tina","Female",19,1881,0.000206627298728698
"10","Monica","Female",10,1881,0.00010875120985721
"11","Angela","Female",9,1881,9.78760888714887e-05
"12","Jessica","Female",7,1881,7.61258469000468e-05
"13","Mary","Female",8148,1882,0.0755514757016885
"14","Tina","Female",28,1882,0.000259627064266971
"15","Angela","Female",24,1882,0.000222537483657404
"16","Rita","Female",21,1882,0.000194720298200228
"17","Jessica","Female",8,1882,7.41791612191345e-05
"18","Mary","Female",8012,1883,0.0713312737600271
"19","Angela","Female",22,1883,0.000195867202037019
"20","Tina","Female",21,1883,0.000186964147398973
"21","Rita","Female",15,1883,0.000133545819570695
"22","Jessica","Female",6,1883,5.34183278282779e-05
"23","Monica","Female",5,1883,4.45152731902316e-05
"24","Mary","Female",9217,1884,0.0714390903665352
"25","Rita","Female",24,1884,0.000186019113463908
"26","Tina","Female",24,1884,0.000186019113463908
"27","Angela","Female",20,1884,0.00015501592788659
"28","Jessica","Female",14,1884,0.000108511149520613
"29","Monica","Female",8,1884,6.20063711546361e-05
"30","Mary","Female",9128,1885,0.0686032091992033
"31","Tina","Female",32,1885,0.000240502048025253
"32","Rita","Female",31,1885,0.000232986359024464
"33","Angela","Female",18,1885,0.000135282402014205
"34","Monica","Female",10,1885,7.51568900078915e-05
"35","Jessica","Female",6,1885,4.50941340047349e-05
"36","Mary","Female",9889,1886,0.0684203607480645
"37","Tina","Female",32,1886,0.00022140272463728
"38","Rita","Female",28,1886,0.00019372738405762
"39","Angela","Female",24,1886,0.00016605204347796
"40","Jessica","Female",11,1886,7.6107186594065e-05
"41","Monica","Female",10,1886,6.918835144915e-05
"42","Mary","Female",9888,1887,0.0677348422054925
"43","Rita","Female",40,1887,0.00027400826134908
"44","Angela","Female",33,1887,0.000226056815612991
"45","Tina","Female",25,1887,0.000171255163343175
"46","Monica","Female",13,1887,8.90526849384509e-05
"47","Jessica","Female",8,1887,5.48016522698159e-05
"48","Mary","Female",11754,1888,0.0658037643739293
"49","Rita","Female",52,1888,0.00029111755550828
"50","Tina","Female",40,1888,0.000223936581160215
"51","Angela","Female",33,1888,0.000184747679457178
"52","Jessica","Female",18,1888,0.000100771461522097
"53","Monica","Female",13,1888,7.277938887707e-05
"54","Mary","Female",11648,1889,0.0653039256360517
"55","Rita","Female",75,1889,0.000420483724476638
"56","Angela","Female",42,1889,0.000235470885706917
"57","Tina","Female",40,1889,0.00022425798638754
"58","Monica","Female",14,1889,7.84902952356391e-05
"59","Jessica","Female",9,1889,5.04580469371966e-05
"60","Mary","Female",12078,1890,0.0634425377015081
"61","Rita","Female",54,1890,0.000283647709544745
"62","Angela","Female",45,1890,0.000236373091287288
"63","Tina","Female",39,1890,0.000204856679115649
"64","Jessica","Female",18,1890,9.45492365149151e-05
"65","Monica","Female",17,1890,8.92965011529754e-05
"66","Mary","Female",11704,1891,0.063100462578579
"67","Rita","Female",65,1891,0.000350438317464767
"68","Tina","Female",31,1891,0.000167132120637043
"69","Angela","Female",29,1891,0.000156349403176589
"70","Monica","Female",25,1891,0.00013478396825568
"71","Jessica","Female",14,1891,7.54790222231807e-05
"72","Mary","Female",13172,1892,0.0620328813830714
"73","Rita","Female",87,1892,0.000409722189517705
"74","Angela","Female",63,1892,0.000296695378616269
"75","Tina","Female",35,1892,0.000164830765897927
"76","Monica","Female",27,1892,0.000127155162264115
"77","Jessica","Female",14,1892,6.5932306359171e-05
"78","Mary","Female",12784,1893,0.060045560226392
"79","Rita","Female",95,1893,0.000446208402808764
"80","Angela","Female",67,1893,0.000314694347244076
"81","Tina","Female",46,1893,0.00021605880557056
"82","Monica","Female",25,1893,0.000117423263897043
"83","Jessica","Female",15,1893,7.0453958338226e-05
"84","Mary","Female",13151,1894,0.058993728748172
"85","Rita","Female",104,1894,0.00046653089421412
"86","Angela","Female",64,1894,0.000287095934900997
"87","Tina","Female",42,1894,0.000188406707278779
"88","Monica","Female",22,1894,9.86892276222176e-05
"89","Jessica","Female",10,1894,4.48587398282807e-05
"90","Mary","Female",13447,1895,0.0575575596998635
"91","Rita","Female",105,1895,0.000449434354762078
"92","Angela","Female",70,1895,0.000299622903174719
"93","Tina","Female",45,1895,0.000192614723469462
"94","Monica","Female",20,1895,8.56065437642053e-05
"95","Jessica","Female",19,1895,8.13262165759951e-05
"96","Pamela","Female",5,1895,2.14016359410513e-05
"97","Mary","Female",13811,1896,0.0580494119822796
"98","Rita","Female",109,1896,0.000458141040190318
"99","Angela","Female",60,1896,0.000252187728545129
"100","Tina","Female",51,1896,0.00021435956926336
"101","Monica","Female",36,1896,0.000151312637127077
"102","Jessica","Female",9,1896,3.78281592817694e-05
"103","Mary","Female",13413,1897,0.0572715627668659
"104","Rita","Female",117,1897,0.000499573014517506
"105","Angela","Female",95,1897,0.000405636208368915
"106","Tina","Female",51,1897,0.000217762596071734
"107","Monica","Female",34,1897,0.000145175064047822
"108","Jessica","Female",9,1897,3.84286934244236e-05
"109","Mary","Female",14406,1898,0.0556710592417977
"110","Rita","Female",146,1898,0.000564207597480388
"111","Angela","Female",98,1898,0.000378714688719712
"112","Tina","Female",49,1898,0.000189357344359856
"113","Monica","Female",41,1898,0.00015844185956641
"114","Jessica","Female",13,1898,5.02376627893496e-05
"115","Pamela","Female",6,1898,2.31866135950844e-05
"116","Mary","Female",13172,1899,0.0565266089613472
"117","Rita","Female",147,1899,0.000630839015891135
"118","Angela","Female",80,1899,0.000343313750144836
"119","Tina","Female",42,1899,0.000180239718826039
"120","Monica","Female",30,1899,0.000128742656304313
"121","Jessica","Female",14,1899,6.00799062753462e-05
"122","Mary","Female",16705,1900,0.055723454220372
"123","Rita","Female",162,1900,0.000540389080137699
"124","Angela","Female",107,1900,0.000356923651695888
"125","Tina","Female",53,1900,0.000176793958316655
"126","Monica","Female",39,1900,0.000130093667440557
"127","Jessica","Female",23,1900,7.6721906439303e-05
"128","Mary","Female",13136,1901,0.0548831185109361
"129","Rita","Female",135,1901,0.00056403935741294
"130","Angela","Female",89,1901,0.000371848168961123
"131","Tina","Female",47,1901,0.000196369257765986
"132","Monica","Female",44,1901,0.000183835049823477
"133","Jessica","Female",8,1901,3.34245545133594e-05
"134","Mary","Female",14486,1902,0.0548560435940062
"135","Rita","Female",148,1902,0.000560451087388714
"136","Angela","Female",116,1902,0.000439272473899263
"137","Tina","Female",44,1902,0.000166620593547996
"138","Monica","Female",33,1902,0.000124965445160997
"139","Jessica","Female",9,1902,3.40814850439083e-05
"140","Mary","Female",14275,1903,0.0544909722487308
"141","Rita","Female",174,1903,0.000664198190632515
"142","Angela","Female",132,1903,0.000503874489445356
"143","Tina","Female",44,1903,0.000167958163148452
"144","Monica","Female",36,1903,0.000137420315303279
"145","Jessica","Female",16,1903,6.10756956903462e-05
"146","Mary","Female",14961,1904,0.0543319182315707
"147","Rita","Female",166,1904,0.00060284061402585
"148","Angela","Female",124,1904,0.000450314675537382
"149","Tina","Female",56,1904,0.000203367917984624
"150","Monica","Female",54,1904,0.000196104778056602
"151","Jessica","Female",16,1904,5.81051194241783e-05
"152","Sandra","Female",8,1904,2.90525597120891e-05
"153","Pamela","Female",5,1904,1.81578498200557e-05
"154","Mary","Female",16067,1905,0.0550964281795238
"155","Rita","Female",188,1905,0.000644683419291123
"156","Angela","Female",148,1905,0.000507516734335565
"157","Tina","Female",58,1905,0.000198891693185559
"158","Monica","Female",53,1905,0.000181745857566114
"159","Jessica","Female",17,1905,5.82958411061121e-05
"160","Sandra","Female",5,1905,1.71458356194447e-05
"161","Mary","Female",16370,1906,0.055435713874506
"162","Rita","Female",203,1906,0.000687443489097417
"163","Angela","Female",123,1906,0.000416529798812721
"164","Monica","Female",52,1906,0.000176093898685053
"165","Tina","Female",49,1906,0.000165934635299377
"166","Jessica","Female",18,1906,6.09555803140567e-05
"167","Sandra","Female",10,1906,3.38642112855871e-05
"168","Pamela","Female",6,1906,2.03185267713522e-05
"169","Mary","Female",17580,1907,0.0551851433306965
"170","Rita","Female",266,1907,0.000834997049258548
"171","Angela","Female",174,1907,0.000546201077334539
"172","Monica","Female",61,1907,0.000191484285732223
"173","Tina","Female",55,1907,0.000172649765824136
"174","Jessica","Female",17,1907,5.33644730729147e-05
"175","Sandra","Female",5,1907,1.56954332567396e-05
"176","Mary","Female",18665,1908,0.055831079949269
"177","Rita","Female",255,1908,0.000762760535069037
"178","Angela","Female",183,1908,0.000547392854578956
"179","Monica","Female",62,1908,0.000185455502644237
"180","Tina","Female",41,1908,0.000122639929167963
"181","Jessica","Female",17,1908,5.08507023379358e-05
"182","Sandra","Female",15,1908,4.48682667687669e-05
"183","Mary","Female",19259,1909,0.0554649970624489
"184","Rita","Female",295,1909,0.000849585862891241
"185","Angela","Female",204,1909,0.000587510223829875
"186","Monica","Female",71,1909,0.000204476597509417
"187","Tina","Female",52,1909,0.000149757508035066
"188","Jessica","Female",18,1909,5.18391373967537e-05
"189","Erica","Female",5,1909,1.43997603879871e-05
"190","Sandra","Female",5,1909,1.43997603879871e-05
"191","Mary","Female",22848,1910,0.0576237758604601
"192","Rita","Female",333,1910,0.000839842321495676
"193","Angela","Female",260,1910,0.000655732743510137
"194","Monica","Female",79,1910,0.000199241872066542
"195","Tina","Female",58,1910,0.000146278842783031
"196","Jessica","Female",28,1910,7.06173723780148e-05
"197","Sandra","Female",9,1910,2.26984411215048e-05
"198","Pamela","Female",5,1910,1.26102450675026e-05
"199","Mary","Female",24390,1911,0.058306180359495
"200","Rita","Female",403,1911,0.000963402652106457
"201","Angela","Female",292,1911,0.000698048571749592
"202","Monica","Female",83,1911,0.000198417915942521
"203","Tina","Female",59,1911,0.000141044060730226
"204","Jessica","Female",21,1911,5.02021233107583e-05
"205","Sandra","Female",15,1911,3.58586595076845e-05
"206","Pamela","Female",8,1911,1.91246184040984e-05
"207","Mary","Female",32304,1912,0.0578801295064314
"208","Rita","Female",636,1912,0.00113954192564668
"209","Angela","Female",398,1912,0.000713109569822923
"210","Monica","Female",130,1912,0.000232925236374322
"211","Tina","Female",81,1912,0.000145130339587077
"212","Jessica","Female",36,1912,6.45023731498121e-05
"213","Sandra","Female",20,1912,3.58346517498956e-05
"214","Pamela","Female",17,1912,3.04594539874113e-05
"215","Mary","Female",36642,1913,0.0586699116957145
"216","Rita","Female",1096,1913,0.00175487755085702
"217","Angela","Female",447,1913,0.000715721044920702
"218","Monica","Female",164,1913,0.000262591166369117
"219","Tina","Female",89,1913,0.000142503742724704
"220","Sandra","Female",36,1913,5.76419633493183e-05
"221","Jessica","Female",25,1913,4.00291412148044e-05
"222","Pamela","Female",16,1913,2.56186503774748e-05
"223","Mary","Female",45346,1914,0.059541848415535
"224","Rita","Female",2010,1914,0.00263924304933678
"225","Angela","Female",590,1914,0.000774703183636168
"226","Monica","Female",156,1914,0.000204836773978377
"227","Tina","Female",108,1914,0.000141810074292722
"228","Jessica","Female",42,1914,5.51483622249475e-05
"229","Sandra","Female",40,1914,5.25222497380453e-05
"230","Pamela","Female",13,1914,1.70697311648647e-05
"231","Mary","Female",58187,1915,0.0591420254265886
"232","Rita","Female",3063,1915,0.00311327313457715
"233","Angela","Female",698,1915,0.000709456300337856
"234","Monica","Female",196,1915,0.00019921695539573
"235","Tina","Female",133,1915,0.000135182934018531
"236","Jessica","Female",55,1915,5.59027170753325e-05
"237","Sandra","Female",49,1915,4.98042388489326e-05
"238","Pamela","Female",22,1915,2.2361086830133e-05
"239","Erica","Female",5,1915,5.08206518866659e-06
"240","Mary","Female",61438,1916,0.0588298379637166
"241","Rita","Female",3477,1916,0.0033293946189629
"242","Angela","Female",716,1916,0.000685604413913556
"243","Monica","Female",278,1916,0.000266198361826772
"244","Tina","Female",127,1916,0.000121608604143885
"245","Jessica","Female",53,1916,5.07500473986292e-05
"246","Sandra","Female",43,1916,4.11745667573784e-05
"247","Pamela","Female",12,1916,1.14905767695009e-05
"248","Erica","Female",5,1916,4.78774032062539e-06
"249","Mary","Female",64280,1917,0.0594487762966964
"250","Rita","Female",3870,1917,0.00357913447834809
"251","Angela","Female",742,1917,0.000686231985254336
"252","Monica","Female",252,1917,0.00023305991952034
"253","Tina","Female",137,1917,0.000126703210215423
"254","Sandra","Female",63,1917,5.82649798800851e-05
